0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,12,4,2,0,0,1,2,53,19,0,0,0,5,0,1,0,0,0,0,2,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,2,1,11,0,0,0,18,6,44,15,13,0,7,0,30,7,1,0,0,1,0,0,0,0,0,0,0,0,0,1,11,41,1,1,2,0,5,10,19,16,1,0,28,30,3,0,2,0,9,1,4,0,3,0,7,14,1,0,0,0,0,0,0,0,0,0,6,9,1,0,2,0,0,0,1,0,0,0,11,8,14,1,6,0,2,0,3,0,3,0,0,6,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,1,12,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,13,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,3,1,1,0,3,1,4,17,10,2,0,2,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,3,1,1,2,0,1,0,1,22,6,0,2,8,4,53,13,9,0,1,0,29,2,1,0,1,1,2,0,0,0,3,0,0,0,0,1,3,24,0,1,0,7,6,21,34,12,1,0,13,57,11,2,5,0,5,7,3,0,5,1,1,15,1,1,1,0,0,0,0,0,0,0,1,4,0,1,0,1,0,2,4,1,0,1,6,16,9,2,4,0,0,0,1,0,1,1,1,6,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,4,0,2,12,4,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,3,2,7,3,2,0,1,1,0,0,0,0,1,0,6,15,0,9,2,15,0,22,0,1,1,5,8,50,0,0,0,0,0,0,0,2,2,3,8,32,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,6,0,5,0,0,0,0,2,3,1,0,2,0,2,8,0,0,10,10,19,22,1,0,0,0,0,1,2,0,1,0,0,0,0,7,12,16,0,6,0,0,3,0,0,2,0,0,1,1,0,0,0,0,5,2,0,0,3,0,2,2,0,0,0,0,1,0,0,0,2,2,26,27,0,4,0,0,15,1,2,1,2,1,37,3,0,0,2,1,39,4,8,2,6,1,8,2,0,1,0,0,0,0,0,1,0,2,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
20,0,1,34,21,25,0,0,0,0,0,0,7,1,2,4,2,5,0,0,0,4,0,33,2,0,0,16,1,13,0,0,0,1,0,32,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,7,3,9,6,0,0,0,0,0,1,2,0,1,0,1,4,0,0,0,1,0,3,0,0,0,1,0,2,0,0,1,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,19,3,23,2,1,10,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,1,0,1,2,0,0,12,45,0,12,0,1,1,4,0,2,0,0,0,43,0,4,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,40,2,20,0,0,5
0,0,0,3,2,8,0,0,1,0,0,2,0,1,0,1,0,0,0,1,1,10,0,48,0,0,0,16,0,19,0,0,3,1,0,16,2,0,0,9,7,2,0,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,38,7,8,0,0,0,2,0,0,0,0,1,1,0,4,0,0,2,1,0,1,0,2,0,11,2,5,0,2,0,1,0,3,0,0,0,0,0,0,8,0,1,0,0,0,8,0,0,0,2,0,0,3,2,0,0,7,0,0,0,0,0,0,26,6,36,0,3,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,5,3,1,0,18,0,0,0,0,0,2,0,5,11,1,0,9,10,3,0,10,19,2,12,0,3,0,0,0,48,1,5,1,10,1,0,0,1,0,0,2,0,0,4,0,0,0,18,2,16,0,1,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,1,8,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,12,2,0,4,4,12,3,10,0,2,9,3,40,21,0,0,1,2,2,3,0,0,4,0,25,2,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,11,3,10,0,0,3,1,4,2,0,2,10,4,21,11,2,0,3,0,22,3,1,0,1,0,0,0,0,0,1,0,0,0,2,5,17,35,2,9,0,1,18,6,1,5,1,0,28,13,3,3,1,0,13,1,3,3,0,0,2,2,0,0,1,0,1,0,0,0,0,0,7,10,0,4,0,0,0,0,1,1,0,0,26,12,14,2,1,0,1,1,4,2,2,0,4,0,0,0,2,0,0,0,0,0,0,2,1,6,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
0,0,2,0,1,0,0,0,2,0,1,0,2,1,4,3,0,0,0,1,2,3,1,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,3,7,10,0,1,1,1,9,11,1,0,0,1,11,13,0,0,0,2,17,11,2,0,0,0,1,0,0,2,0,2,3,3,0,1,1,1,8,14,0,3,2,3,12,10,0,1,1,1,16,12,0,2,0,2,18,6,1,0,1,1,2,3,0,0,1,1,0,0,0,5,9,5,4,2,0,2,11,15,5,5,4,1,9,24,8,3,8,1,15,12,4,1,2,1,3,3,3,1,2,0,2,5,0,0,0,0,10,12,3,5,1,1,8,6,1,1,2,0,14,14,9,5,3,2,13,2,2,1,0,0,1,3,1,0,0,1,0,0,0,0,0,0,1,1,3,0,0,1,2,1,1,2,0,0,0,0,6,1,1,2,0,0,3,0,0,0,0,0,1,1,0
0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4,2,2,1,0,0,1,0,5,3,1,0,2,1,0,0,0,0,0,0,3,3,0,1,1,9,0,7,0,6,2,4,14,39,2,0,0,0,1,0,0,0,0,0,6,10,0,0,0,2,0,0,0,2,1,0,2,6,1,0,1,3,0,4,0,0,0,0,5,16,0,1,4,0,8,8,2,3,2,1,40,26,2,0,2,1,0,0,0,0,0,0,2,0,0,2,11,35,0,5,0,2,3,9,2,10,0,1,10,12,1,2,1,0,4,2,5,0,1,0,4,8,0,0,0,0,2,0,1,0,2,0,3,9,0,0,1,1,3,2,2,0,1,0,34,12,15,1,9,2,6,6,15,2,10,0,7,6,1,0,0,0,0,0,0,0,0,3,1,10,1,0,0,3,0,6,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,3,0,0,0,3,0,0,0,3,0,2,1,0,0,4,0,2,2,0,0,0,0,0,0,5,5,0,0,0,0,1,7,0,0,2,0,19,16,0,0,0,4,3,3,0,5,5,7,17,21,3,0,0,0,0,1,0,0,0,0,1,0,0,2,0,4,3,13,0,1,1,0,4,8,0,4,5,8,7,4,11,4,6,8,15,5,14,1,0,1,0,0,0,0,3,1,0,0,1,4,2,13,1,13,0,0,6,10,2,4,1,0,7,5,0,0,0,0,5,0,0,0,2,0,3,16,0,0,1,0,4,2,0,0,3,2,6,15,2,7,0,0,13,5,0,0,1,0,18,6,2,0,6,0,14,2,0,0,11,1,16,15,1,0,1,0,0,0,0,2,0,2,0,3,1,15,0,0,0,0,11,24,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,1,7,1,7,0,2,2,15,34,15,0,1,1,2,2,3,0,0,1,0,12,1,0,0,1,1,0,0,0,0,0,0,5,0,0,1,2,6,5,4,0,1,1,2,27,9,0,2,14,10,40,12,2,0,3,0,21,1,2,0,1,0,0,0,0,0,1,1,2,0,0,1,13,44,3,3,1,2,12,20,15,1,1,0,37,23,2,0,1,0,8,4,4,3,2,0,2,2,0,0,0,0,0,0,0,0,0,0,4,7,0,0,1,0,1,1,2,0,0,1,11,13,11,4,1,0,0,0,4,0,1,0,2,3,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,1,0,0,0,4,2,0,1,3,0,1,0,3,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,3,0,1,3,1,3,22,1,5,0,0,1,1,0,1,0,0,3,1,1,0,0,1,0,3,1,1,0,1,3,28,1,1,4,20,18,30,0,15,0,2,2,28,1,3,0,0,0,4,0,0,1,1,0,17,0,1,0,1,7,3,1,0,0,0,6,5,2,3,1,5,26,3,2,1,9,10,20,37,14,19,2,0,7,9,2,2,3,5,15,3,1,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,9,6,1,1,0,0,1,1,0,0,0,0,2,1,0,0,0,1,2,1,0,0,0,0,5,0,0,1,0,4,18,0,1,0,0,2,4,13,3,2,0,0,2,0,0,0,0,0,3,1,0,0
0,1,2,2,0,12,0,2,0,0,1,0,0,0,0,0,0,2,1,6,0,1,2,4,1,12,3,19,5,29,6,6,5,0,2,4,12,0,0,4,44,0,12,1,1,0,8,0,1,0,0,1,5,0,0,0,1,0,0,0,8,0,1,4,21,0,2,0,0,0,0,0,1,0,0,0,3,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,4,2,2,2,5,0,3,1,2,0,1,0,0,0,0,1,0,1,16,2,3,0,7,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,8,1,1,0,1,0,0,2,0,5,0,10,2,17,2,1,3,2,0,3,0,0,0,3,0,21,0,0,1,7,1,10,0,4,0,19,3,34,8,0,0,4,4,0,0,2,22,0,28,0,0,0,14,0,3,0,0,2,10,1,0,0,0,0,0,0,3,0,0,0,3,0,6,0,0,0,2,0
4,0,0,19,8,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,21,2,11,5,0,0,14,7,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,26,0,0,7,15,0,2,0,1,0,1,0,41,1,24,5,7,1,3,0,0,2,0,1,1,0,0,5,1,0,1,0,0,0,0,5,0,0,0,7,2,1,0,0,1,0,0,4,1,0,0,1,0,5,0,3,4,15,3,27,1,0,0,2,1,5,1,4,4,1,0,37,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,14,4,8,0,0,0,8,2,1,0,0,1,0,0,5,0,0,1,1,0,0,0,1,10,0,0,1,4,3,43,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,43,1,0,20
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,0,1,1,1,3,1,3,0,0,0,0,0,0,0,1,0,1,5,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,2,0,3,3,21,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,1,0,2,0,7,0,2,19,1,78,18,12,2,0,1,1,2,0,0,4,1,2,20,14,1,0,6,8,5,0,9,0,1,2,2,0,0,0,10,11,86,2,36,3,0,17,0,0,1,1,2,12,1,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,9,0,0,0,0,0,22,0,1,1,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,2,0,3,0,2,1,0,25,0,0,0,0,7,9,0,0,1,0,0,2,0,0,0
0,0,0,3,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,15,4,2,0,4,0,1,0,5,0,1,0,4,2,0,0,0,2,0,0,10,5,2,2,0,10,0,3,0,10,1,9,7,34,1,0,0,0,1,0,0,0,0,2,17,6,0,1,0,0,0,0,0,0,5,0,11,2,4,1,2,1,1,0,1,1,4,3,8,6,3,0,7,3,3,0,3,0,5,0,44,4,12,0,2,2,0,0,1,0,0,1,1,0,0,11,5,37,0,16,0,6,0,6,0,11,0,2,1,3,1,1,1,0,0,0,1,2,0,0,1,16,1,1,0,0,0,0,0,0,0,2,5,5,0,0,0,0,0,0,1,0,1,0,44,13,2,2,11,0,6,0,3,1,3,0,9,7,0,0,0,1,0,0,0,0,0,3,1,7,0,5,0,5,0,7,0,15,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2,2,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,2,3,11,0,11,1,2,4,7,29,29,0,0,2,4,3,2,0,1,1,1,10,13,0,0,1,0,0,1,0,1,0,0,2,1,0,1,0,2,6,4,1,0,1,2,10,11,0,1,22,8,19,5,1,0,15,3,25,3,7,0,0,0,0,0,0,0,0,0,1,0,0,1,13,37,3,6,0,2,6,12,13,12,0,0,6,24,8,1,0,0,5,0,2,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,11,19,1,0,0,0,3,1,2,1,0,0,29,6,7,0,1,0,9,2,6,0,1,0,8,2,0,0,0,0,0,1,0,0,0,2,0,2,1,5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5
0,3,1,0,0,0,0,7,1,4,14,0,1,4,0,0,0,0,0,3,0,0,0,0,0,4,1,0,1,0,0,4,2,1,0,1,1,1,0,0,2,1,0,0,1,1,31,0,3,0,1,0,9,0,4,0,3,0,9,0,28,5,14,8,53,3,0,0,0,0,6,0,0,1,1,1,1,1,0,3,2,4,20,2,0,2,1,2,0,0,0,2,0,1,0,0,2,6,1,2,3,2,0,1,1,0,2,0,0,2,1,0,1,0,2,1,1,1,10,0,0,2,2,1,2,0,0,0,0,0,1,0,1,1,4,2,3,0,0,1,0,0,0,0,2,19,3,2,1,6,2,22,8,6,21,4,0,23,1,0,0,4,0,10,4,0,0,1,0,47,5,2,3,10,0,9,3,0,2,1,1,0,0,0,1,0,1,0,0,0,15,0,1,0,0,0,5,0,0,0,0,0,1,0,2,0,3,1,4,0,2,0,0,0,0,0
0,0,0,1,0,5,0,2,1,0,0,1,0,0,4,1,2,2,0,4,1,0,0,0,3,12,6,5,3,29,5,0,6,0,0,2,3,1,1,3,17,1,5,0,1,0,4,0,2,0,4,0,3,2,0,0,0,0,1,0,2,2,1,3,13,2,1,0,1,0,0,0,0,2,2,1,5,1,1,0,0,1,1,0,2,0,5,5,5,1,1,2,1,0,0,3,2,8,5,12,11,19,5,3,5,0,0,0,0,0,0,0,1,0,8,0,1,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,1,0,1,2,0,0,5,11,8,6,0,1,1,1,3,1,1,2,8,0,13,4,0,0,4,1,5,3,0,0,20,20,7,37,0,1,5,3,0,4,0,34,1,1,0,2,0,7,0,6,0,5,0,39,0,0,0,0,0,0,0,0,0,1,1,1,0,6,0,0,0,2,2
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,18,0,0,0,4,0,21,1,2,2,12,0,4,0,0,0,0,0,1,1,18,30,1,5,0,0,1,8,0,2,1,0,7,27,0,0,0,0,1,0,1,1,10,1,22,10,13,0,0,0,0,1,0,0,0,0,2,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,2,0,3,0,23,0,8,1,17,1,0,0,0,0,1,0,0,0,0,1,0,19,1,7,0,20,0,0,0,0,2,4,0,0,2,0,0,1,0,0,0,0,0,2,0,5,1,3,0,2,0,0,1,0,0,0,0,16,12,28,1,9,1,0,1,0,0,0,1,1,23,6,0,1,3,0,12,0,0,1,3,3,24,18,0,1,0,0,0,0,2,7,0,11,0,1,0,18,0,3,0,0,0,18,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0
1,0,2,0,0,2,0,0,1,1,1,0,0,1,4,3,1,1,1,6,3,4,2,2,0,1,0,2,0,1,1,0,5,0,0,0,1,0,0,13,3,1,1,0,4,2,4,0,0,2,5,16,19,1,4,1,0,3,1,0,0,4,2,9,5,1,0,1,0,0,2,0,1,0,1,2,0,0,3,4,5,2,4,0,0,0,4,13,6,1,0,5,5,13,14,7,1,3,1,22,4,14,0,2,2,1,1,0,1,2,7,0,0,3,11,2,21,0,4,1,1,6,6,3,8,1,3,8,12,2,2,2,1,7,5,1,1,4,2,4,7,0,2,1,0,1,0,1,0,0,0,5,10,2,4,1,1,7,1,2,0,0,3,17,6,7,0,5,0,6,0,3,0,2,0,5,12,2,2,2,1,0,0,2,1,0,3,0,2,2,4,1,2,2,3,7,11,2,2,2,0,0,0,0,0,1,3,1,1,1,1,0,1,1,0,0
0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,1,1,37,17,0,0,22,0,0,1,9,0,11,0,8,29,0,0,3,5,0,0,25,11,4,1,0,0,0,0,0,2,1,0,4,5,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,42,3,25,0,0,1,0,2,0,1,2,2,4,4,0,0,2,3,1,0,4,0,0,1,10,0,13,1,1,0,0,0,1,1,0,0,1,1,0,37,1,7,0,0,0,23,0,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,12,0,0,1,0,0,0,0,0,0,4,3,18,0,0,0,10,0,1,3,6,0,7,0,5,0,0,1,45,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,4,1,1,0,0,0,3,1,4,1,0,0,0,1,0,0,0,0,0,0,4,7,0,2,7,9,4,9,0,0,2,1,24,31,0,1,0,1,6,3,2,1,2,3,21,11,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,4,4,0,1,0,0,3,3,0,2,6,2,22,3,3,2,5,7,20,12,2,0,1,0,0,0,0,0,2,1,1,0,0,5,8,32,3,11,0,1,2,4,6,3,0,1,24,5,6,3,4,0,5,3,2,0,3,0,9,8,0,0,1,0,1,0,0,1,1,1,14,10,0,5,0,0,9,1,4,0,1,0,25,7,8,4,9,0,14,1,6,1,3,1,4,3,0,0,0,0,0,1,0,0,0,2,0,3,2,8,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,21,1,4,0,0,2,1,0,2,1,0,0,4,0,12,2,3,0,31,3,27,3,1,1,7,1,1,0,4,5,4,0,8,4,1,5,8,1,1,0,0,0,0,0,2,4,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,7,7,4,7,24,5,8,1,0,0,0,0,2,0,1,0,0,0,6,0,1,0,1,0,2,0,0,2,1,0,0,2,5,13,0,0,8,0,0,0,2,2,2,10,0,3,0,0,2,3,0,0,0,0,1,3,7,3,6,0,19,0,0,0,2,0,2,16,3,30,0,2,6,0,0,0,2,0,3,0,1,0,0,0,1,0,0,0,0,0,3,1,2,0,0,1,6,0,1,0,0,0,0,1,1,1,0,0,0,16,0,4,9,5,3,10,1,2,0,0,2,47,2,6,0,3,4,0,1,0,0,0,3,2,0,0,0,0,0,17,1,11,0,0,9
1,0,3,1,0,0,0,0,0,1,0,2,0,1,2,2,0,1,2,0,3,0,3,2,10,0,6,15,15,5,0,2,2,1,0,2,1,0,0,0,13,0,1,1,2,0,1,1,13,1,2,0,13,2,0,0,0,1,0,5,0,0,0,0,2,1,0,8,8,0,0,6,3,0,0,7,37,1,0,1,1,3,0,9,5,4,2,1,8,5,0,0,1,0,0,8,1,0,2,4,19,0,0,8,5,1,0,8,0,1,2,0,0,0,4,1,2,0,0,1,0,1,6,2,1,7,0,1,0,0,0,0,0,0,1,1,0,1,0,9,10,0,0,3,0,2,1,2,0,6,0,2,0,2,1,9,0,6,4,3,0,6,1,6,12,0,0,7,0,14,10,6,2,6,0,3,3,0,0,7,0,0,0,0,1,0,9,1,26,0,1,0,30,1,9,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,7,18,0,0,3
0,0,0,0,0,0,0,5,8,0,0,1,0,1,0,1,1,0,3,4,3,4,3,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,5,0,0,3,3,11,4,4,2,1,15,8,24,8,5,2,0,0,2,6,0,0,1,1,13,3,1,4,0,2,0,2,0,0,0,1,6,1,0,1,5,11,5,15,4,2,4,3,9,6,3,3,0,1,18,14,0,0,0,0,13,5,2,1,1,2,1,4,0,0,14,2,4,1,1,1,11,14,0,0,1,2,14,9,0,2,0,8,10,8,5,5,3,0,13,2,14,3,1,0,2,7,0,0,0,0,0,0,0,0,0,0,2,14,1,0,0,0,3,2,0,0,1,5,13,15,10,5,5,0,2,3,7,0,2,0,0,6,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,3,4,6,2,3,0,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0
